nombre,letra
mexico lindo,"Voz de la guitarra mia, al despertar la mañana,

Quiere cantara su alegria, a mi tierra.... mexicana,

Yo le canto a sus volcanes, a tus praderas y flores,

Que son como talismanes, del amor de... mis amores

Mexico lindo y querido, si muero lejos de ti,

Que digan que estoy...dormido, y que me traigan aqui

Que digan que estoy dormido, y que me traigan aqui,

Mexico lindo y querido, si muero lejos... de ti



Viva Mexico, que me entierren en la sierra,

al pie de los magueyales

Y que me cubra esta tierra, que es cuna de hombres cabales

Voz de la guitarra mia, al despertar la mañana,

Quiere cantar su alegria, a mi tierra... mexicana

(Mexico lindo y, querido, si muero lejos de ti,

Que digan que estoy, dormido, y que me traigan aqui)

Que digan que estoy, dormido, y que me traigan aqui

Mexico lindo y querido, si muero lejos, de ti
"
un dia de estos,"Un dia de estos me llevo a mi Chata

A ver si en su casa la van a extrañar

Ella dice que desde el pequeño

Y hasta los abuelos la tratan muy mal

Un dia de estos veran en su casa,

Que como la tratan me van a obligar

A que todo lo arregle a mi modo

Y sin su permiso mis suegros seran

Yo pensaba llevarla a la iglesia

Porque su pureza merece eso y mas

Y me dije que solo de blanco

Antes que a mis brazos primero al altar



Y como hoy yo la quiero rete harto

En verdad me aguanto si la hacen sufrir

Me sorprenden con todos sus actos

Que siendo tan beatos la traten asi

Pero no cabe duda que es cierto

Esto que les cuento es la pura verdad

Uno pone y Diosito dispone

Y que se haga siempre pos su voluntad

Yo pensaba llevarla a la iglesia

Porque su pureza merece eso y mas

Pero asi va a ser todo imposible

Habra que esperarnos hasta bautizar
"
miraron llorar a un hombre,"Que caso tiene buscarla, que caso tiene seguirla

De nada vale adorarla, si no podre conseguirla

Asi me dije una noche, mojandome en una esquina

Despues me di media vuelta, tome por cualquier camino

Queria salir por la puerta, que te abre un vaso de vino

Queria arrancarla de mi alma, mandarla por donde vino

El vino agrando mi pena, la pena saco mi llanto,

El llanto me abrio la boca, mi boca dijo tu nombre

Y ahi entre copa tras copa, miraron llorar a este hombre



Despues me di media vuelta, tome por cualquier camino

Queria salir por la puerta, que te abre, un vaso de vino

Queria arrancarla de mi alma, mandarla por donde vino

El vino agrando mi pena, la pena saco mi llanto,

El llanto me abrio la boca, mi boca dijo tu nombre

Y ahi entre copa tras copa, miraron llorar a este hombre
''"
lo que me toca,"Que dificil es retenerte aqui

justo aqui a mi lado...

es como querer eclipsar el sol en el verano



Cuando estas aqui bebes de mi piel

bebes de mi mano

y al amanecer se escurre el placer

se acaba el milagro...



Me vuelve loco, tan solo al saber

que existe otra boca que prueba tu miel

pero he de entender

que lo que el desprecia...

es lo que me toca...
"
si supieras,"Si supieras, que anhelo tocarte 

Que me urgen tus besos 

Si supieras, que quiero abrazarte 

Con loca pasion 



Si supieras, que pensando en ti 

Pienso en lo prohibido 

Y que vivo sin miedo en tu cuerpo 

Con gran emocion



Si supieras que al decir tu nombre 

Me tiemblan los labios 

Y que siento dentro de mi pecho 

Desesperacion 



Si supieras, que me estoy muriendo 

Si sintieras, lo que estoy sintiendo 

Me amarias, me darias cariño 

Tendrias compasion 



Si supieras, todo lo que siento 

Viviria, ya en tu pensamiento 

Y estarias ahorita conmigo 

Brindandome amor 



Si supieras, que me estoy muriendo 

Si sintieras, lo que estoy sintiendo 

Me amarias, me darias cariño 

Tendrias compasion 



Si supieras, todo lo que siento 

Viviria, ya en tu pensamiento 

Y estarias ahorita conmigo 

Brindandome amor
"
camino al cielo,"A todos los que dicen que

el dinero es toda la felicidad

a todos los que dicen que

el dinero TODO lo puede lograr...



les juro que es mentira

les juro que es mentira

hay cosas en la vida que

el dinero nunca las podra comprar...



digan quien a visto

un signo de pesos

que le ponga precio

a la vida y al timpo...



digan quien me vende

para regalarle

una nueva vida

A MI MADRE Y A MI PADRE...



la pobre de mi madre

se durmio pensando

en un nuevo mañana

y ver su sueño relizado...



una casita blanka

rodiada de pinoz

para mirar creser

a los hijos de sus hijos"
como dice el refran,"Te fuiste sin tener razon, buscando otro cariño,

Ni pienses que te ire a buscar, y sigue tu camino

Tu vida no me importa ya, porque tu lo quisiste asi

Dire, como dice el refran, “Ni falta que hace, al fin, la que se va”

No pienses que en mis noches, (de dolor)

Añore tus caricias, (y tu amor),

Pues el vacio que dejas, (sin razon), otro amor lo llenara

Te fuiste y que te vaya bien, hablando con sinceridad

Dire, como dice el refran, “Ni falta que hace, al fin, la que se va”



No pienses que en mis noches, (de dolor)

Añore tus caricias, (y tu amor),

Pues el vacio que dejas, (sin razon), otro amor lo llenara

Te fuiste y que te vaya bien, hablando con sinceridad

Dire, como dice el refran, “Ni falta que hace, al fin, la que se va”
"
a duras penas,"Si hoy, que todavia no te has ido

Que aun tus dias son los mios

Que tengo todavia tu amor



A duras penas

Me contengo de llorar

A duras penas

Porque se que un dia te iras



Si hoy, que todavia estas conmigo

Estoy perdiendo los sentidos

Estoy perdiendo la razon



Que pasara

Cuando me digas que te vas

Como evitar

Gritar tu nombre una vez mas



Como aguantar

Estas malditas ganas de llorar

Si tu ya no estaras aqui



Si hoy, que todavia estas conmigo

Estoy perdiendo los sentidos

Estoy perdiendo la razon



Que pasara

Cuando me digas que te vas

Como evitar

Gritar tu nombre una vez mas



Como aguantar

Estas malditas ganas de llorar

Si tu ya no estaras aqui
"
el remedio,"DIME QUE TIENEN TUS OJOS

QUEE ME VEN CON TANTO ORGULLO



DIME QUE TIENEN TUS OJOS

QUE ME VEN  CON TANTO ORGULLO

CUANDO TE TENGA EN MIS BRAZOS

COMO UNA ROSA EN CAPULLO

HAS DE SENTIR MI CARIÑO

AMARRADO CON EL TUYO



NO SE PORQUE ANDAS DICIENDO

QUE SOLO FUIMOS AMIGOS

LOS BESOS QUE TU ME DISTE

SON LOS QUE ME TRAEN HERIDO

YA TENGO LISTO EL  PETATE

PARA QUE DUERMAS CONMIGO



ERES DURAZNO MADURO

DEL CORAZON COLORADO

POR EL AMOR QUE TE TENGO

ME TRAES MUY APASIONADO

Y HE DE JUGARME LA VIDA

HASTA TENERTE A MI LADO



SOY COMO EL VIENTO QUE CRUZA

ACARICIANDO LAS FLORES

LES DEJO MI DESPEDIDA

CHINITA POR TUS AMORES

YA TENGO LISTO EL REMEDIO

PARA CURAR TUS DOLORES
"
que dios te bendiga,"Yo te quiero decir, que ya no puedo,

Llevar este dolor, dentro de mi alma,

Yo quisiera poder, hallar la calma

Estar cerca de ti, tenerte junto a mi

Pedacito de mi alma

Yo quisiera soñar, que tu eres mia,

Que tu amor es verdad, que no me engañas

Y quisiera saber, si tu me extrañas,

Si te hago falta yo, y asi poder gritar

Que tu tambien me amas

Yo quisiera decir, las cosas mas bonitas

Que nunca, nunca, nunca

Jamas, te hayan escrito,

Que por ti vivire, el resto de mi vida

Y decirte despues, de todo corazon, que Dios te bendiga

Y decirte despues, de todo corazon, que Dios te bendiga
"
mis lagrimas,"Una vez tu me pediste que te amara, dulcemente 

Y yo ansioso de cariño pude amarte, locamente 

Cada beso lo conte, y en mi pecho lo guarde como un rosario 

Y tu amor fue para mi el altar donde colgue mi escapulario 



Ya te fuiste y me dejaste como un ciego 

En un desierto 

Ya no se si lo vivido fue mentira 

O fue muy cierto 

Pero no voy a llorar

Porque tengo que esperar a que regreses 

Y mis lagrimas las guardo para ti 

Cuando regreses 



Ya te fuiste y me dejaste como un ciego 

En un desierto 

Ya no se si lo vivido fue mentira 

O fue muy cierto 

Pero no voy a llorar

Porque tengo que esperar a que regreses 

Y mis lagrimas las guardo para ti 

Cuando regreses
"
lo mejor de la vida,"A veces nos preguntamos

¿Que es lo mejor de la vida?

Si el dinero bastaria para ser feliz



Si tener aquellos lujos

Que tanto hemos deseado

O tener el gran amor

Con el que siempre hemos soñado



Lo mejor de la vida

Es estar enamorado

Tener un cariño fiel

Que este siempre a nuestro lado



Si eres alguien que el amor no ha conocido

No puede ser que seas feliz

Porque el amor viene siendo en este mundo

Lo mejor, lo mejor de la vida



Lo mejor de la vida

Es estar enamorado

Tener un cariño fiel

Que este siempre a nuestro lado



Si eres alguien que el amor no ha conocido

No puede ser que seas feliz

Porque el amor viene siendo en este mundo

Lo mejor, lo mejor de la vida



De la vida
"
